k,score
2,0.1428027418126428
3,0.12795125666412796
5,0.11462300076161462
10,0.10434120335110435
20,0.09405940594059406
50,0.08035034272658036
100,0.07121096725057122
1000,0.039603960396039604
5000,0.024371667936024372
10000,0.016374714394516376
50000,0.0057121096725057125
10000,0.016374714394516376
80000,0.001904036557501904
